adp_rank,name,adp_avg
1,Jahmyr Gibbs,1.0
2,Bijan Robinson,2.0
3,Ja'Marr Chase,3.0
4,Puka Nacua,4.0
5,Christian McCaffrey,5.8
6,Jonathan Taylor,6.0
7,Jaxon Smith-Njigba,6.2
8,Amon-Ra St. Brown,8.2
9,James Cook III,8.8
10,CeeDee Lamb,11.2
11,De'Von Achane,11.8
12,Justin Jefferson,12.0
13,Chase Brown,12.6
14,Saquon Barkley,13.4
15,Omarion Hampton,15.0
16,Derrick Henry,16.6
17,Kenneth Walker III,18.0
18,A.J. Brown,18.0
19,Ashton Jeanty,18.6
20,Drake London,20.2
21,Brock Bowers,22.8
22,Josh Allen,23.2
23,Nico Collins,23.6
24,George Pickens,24.2
25,Trey McBride,25.2
26,Chris Olave,26.0
27,Javonte Williams,27.6
28,Kyren Williams,28.0
29,Malik Nabers,28.2
30,Jeremiyah Love,28.8
31,Rashee Rice,29.0
32,DeVonta Smith,32.4
33,Breece Hall,33.6
34,Travis Etienne Jr.,35.6
35,Zay Flowers,37.0
36,Cam Skattebo,39.2
37,Tetairoa McMillan,40.0
38,Lamar Jackson,40.4
39,Colston Loveland,40.4
40,Garrett Wilson,40.6
41,Tee Higgins,41.8
42,Emeka Egbuka,42.4
43,Ladd McConkey,42.8
44,D'Andre Swift,43.4
45,Quinshon Judkins,45.0
46,Jaylen Waddle,46.4
47,Bucky Irving,46.6
48,DJ Moore,48.2
49,David Montgomery,49.4
50,Davante Adams,50.0
51,Tyler Warren,51.4
52,Drake Maye,52.8
53,Luther Burden III,53.0
54,Joe Burrow,53.2
55,Bhayshul Tuten,55.6
56,Jadarian Price,55.8
57,Jameson Williams,55.8
58,Terry McLaurin,55.8
59,Rome Odunze,61.2
60,Jalen Hurts,63.6
61,TreVeyon Henderson,63.8
62,Parker Washington,64.6
63,Jayden Daniels,64.6
64,Rhamondre Stevenson,64.8
65,Christian Watson,66.4
66,Harold Fannin Jr.,68.8
67,Mike Evans,69.2
68,Jaylen Warren,71.0
69,Tucker Kraft,72.2
70,Marvin Harrison Jr.,73.2
71,Sam LaPorta,74.2
72,Kyle Pitts Sr.,74.2
73,Dak Prescott,75.0
74,Tony Pollard,75.8
75,Caleb Williams,76.0
76,Carnell Tate,76.6
77,Courtland Sutton,77.8
78,Rico Dowdle,79.2
79,DK Metcalf,81.4
80,George Kittle,81.6
81,Jonathon Brooks,83.2
82,Josh Jacobs,84.6
83,Justin Herbert,84.6
84,Michael Wilson,85.4
85,Brian Thomas Jr.,87.0
86,MarShawn Lloyd,89.4
87,RJ Harvey,89.6
88,J.K. Dobbins,91.2
89,Trevor Lawrence,91.8
90,Chris Godwin Jr.,92.0
91,Chuba Hubbard,93.6
92,Alec Pierce,96.0
93,Kenny Gainwell,98.0
94,Travis Kelce,98.4
95,Brandon Aubrey,98.8
96,Michael Pittman Jr.,99.4
97,Blake Corum,99.8
98,Matthew Stafford,100.6
99,Jaxson Dart,101.2
100,Stefon Diggs,101.2
101,Jordan Mason,102.2
102,Houston Texans DST,103.2
103,Wan'Dale Robinson,103.4
104,Quentin Johnston,103.4
105,Isaiah Likely,104.6
106,Los Angeles Rams DST,105.0
107,Kyle Monangai,108.8
108,Jordan Addison,108.8
109,Jacory Croskey-Merritt,109.2
110,Patrick Mahomes II,109.4
111,Dallas Goedert,109.8
112,De'Zhaun Stribling,110.8
113,Bo Nix,113.2
114,Denver Broncos DST,114.0
115,Brock Purdy,114.0
116,Makai Lemon,114.2
117,Rachaad White,115.6
118,Josh Downs,116.2
119,Aaron Jones Sr.,116.4
120,Jayden Reed,116.6
121,Dalton Kincaid,117.0
122,Jake Ferguson,121.0
123,Jakobi Meyers,121.8
124,Seattle Seahawks DST,122.0
125,KC Concepcion,122.2
126,Jared Goff,123.2
127,Matthew Golden,123.4
128,Mike Washington Jr.,126.4
129,Mark Andrews,127.8
130,Romeo Doubs,131.8
131,Xavier Worthy,133.0
132,Ka'imi Fairbairn,134.6
133,Woody Marks,134.8
134,Cameron Dicker,135.8
135,Deebo Samuel Sr.,135.8
136,Jason Myers,136.2
137,Chris Rodriguez Jr.,137.4
138,Kyler Murray,138.6
139,Philadelphia Eagles DST,139.6
140,Baker Mayfield,141.4
141,Tyler Allgeier,142.2
142,Jalen Coker,142.2
143,Tyjae Spears,144.8
144,Khalil Shakir,146.8
145,Zach Charbonnet,147.2
146,Jordyn Tyson,147.4
147,Rashid Shaheed,147.8
148,Juwan Johnson,149.0
149,Jordan Love,150.0
150,Cam Little,150.2
151,Pittsburgh Steelers DST,151.4
152,Jonah Coleman,153.2
153,New England Patriots DST,156.0
154,Baltimore Ravens DST,156.8
155,Tyler Shough,158.0
156,Hunter Henry,160.6
157,Brenton Strange,164.6
158,Jake Bates,165.4
159,Minnesota Vikings DST,165.6
160,Keaton Mitchell,166.2
161,Alvin Kamara,166.6
162,Harrison Mevis,167.4
163,Jacksonville Jaguars DST,169.2
164,Brian Robinson Jr.,170.4
165,Denzel Boston,172.2
166,Tank Bigsby,172.8
167,Los Angeles Chargers DST,173.2
168,Malik Willis,173.4
169,T.J. Hockenson,175.2
170,Tre Tucker,176.0
171,Dalton Schultz,176.0
172,Ja'Kobi Lane,177.6
173,Kenyon Sadiq,179.8
174,Dylan Sampson,180.4
175,Harrison Butker,182.2
176,Terrance Ferguson,182.6
177,Isiah Pacheco,182.6
178,Keenan Allen,183.8
179,Daniel Jones,184.2
180,Eddy Pineiro,185.2
181,Tyler Loop,187.0
182,Detroit Lions DST,187.8
183,C.J. Stroud,187.8
184,Jerry Jeudy,188.2
185,Sam Darnold,193.4
186,Emmett Johnson,194.6
187,Kaelon Black,196.8
188,Will Reichard,203.2
189,Evan McPherson,203.2
190,Dallas Cowboys DST,206.6
191,Green Bay Packers DST,209.4
192,Buffalo Bills DST,211.2
193,Kansas City Chiefs DST,214.4
194,Cairo Santos,218.6
195,Tyrone Tracy Jr.,155.5
196,Kayshon Boutte,174.5
197,Braelon Allen,180.3
198,Cleveland Browns DST,248.4
199,Chig Okonkwo,185.8
200,Jalen McMillan,187.5
201,Jalen Nailor,189.8
202,Cyrus Allen,192.8
203,Jauan Jennings,195.5
204,Wil Lutz,259.2
205,Malik Washington,202.0
206,Chris Boswell,203.5
207,AJ Barner,203.8
208,Caleb Douglas,204.0
209,Cooper Kupp,204.8
210,Bryce Young,207.5
211,Trey Smack,208.3
212,Cam Ward,216.5
213,San Francisco 49ers DST,222.8
214,Andy Borregales,224.0
215,Greg Dulcich,225.5
216,Chicago Bears DST,225.8
217,Chase McLaughlin,225.8
218,David Njoku,229.3
219,Cade Otton,235.8
220,Jacoby Brissett,244.8
221,Calvin Ridley,245.8
222,Pat Freiermuth,250.3
223,New York Giants DST,254.5
224,Oronde Gadsden II,174.7
225,Tank Dell,188.7
226,Omar Cooper Jr.,189.3
227,Ray Davis,201.3
228,Tyler Bass,278.5
229,Fernando Mendoza,207.7
230,Malachi Fields,215.0
231,Najee Harris,217.7
232,Kaleb Johnson,219.0
233,Adonai Mitchell,219.7
234,Aaron Rodgers,221.0
235,Ryan Flournoy,221.3
236,Atlanta Falcons DST,223.0
237,Isaac TeSlaa,224.0
238,Tre' Harris,225.0
239,Tennessee Titans DST,298.8
240,Jake Elliott,232.3
241,Zachariah Branch,233.0
242,Nicholas Singleton,233.3
243,Kimani Vidal,235.3
244,Chris Bell,241.3
245,Pat Bryant,244.3
246,Tyreek Hill,245.3
247,Kaytron Allen,249.0
248,Sean Tucker,254.7
249,Rashod Bateman,258.0
250,Ted Hurst III,262.0
251,J.J. McCarthy,262.3
252,New Orleans Saints DST,264.3
253,Devaughn Vele,265.0
254,Shedeur Sanders,266.0
255,Jaylen Wright,270.0
256,Carolina Panthers DST,270.7
257,Cincinnati Bengals DST,276.7
258,Dontayvion Wicks,172.0
259,Travis Hunter,173.5
260,Demond Claiborne,284.0
261,Christian Kirk,289.0
262,Chimere Dike,289.3
263,Justice Hill,185.0
264,Kyle Williams,301.3
265,George Holani,205.0
266,Blake Grupe,304.0
267,Malik Davis,214.5
268,Las Vegas Raiders DST,310.7
269,Eli Stowers,312.0
270,Joe Mixon,313.3
271,Jordan James,223.5
272,Brandon Aiyuk,316.7
273,Jaydon Blue,230.5
274,Samaje Perine,234.5
275,Spencer Shrader,237.0
276,James Conner,238.5
277,Antonio Williams,240.0
278,Indianapolis Colts DST,245.5
279,Jaylin Noel,247.0
280,Odell Beckham Jr.,250.5
281,Washington Commanders DST,250.5
282,Chris Brooks,251.0
283,Ty Simpson,334.0
284,Kirk Cousins,251.5
285,Michael Penix Jr.,257.5
286,Gunnar Helm,259.0
287,Germie Bernard,259.0
288,Mason Taylor,259.5
289,Seth McGowan,260.0
290,Jacob Saylors,261.5
291,Tampa Bay Buccaneers DST,262.0
292,Tua Tagovailoa,265.0
293,Zavion Thomas,268.5
294,Dominic Zvada,269.0
295,Cole Kmet,271.0
296,Marvin Mims Jr.,271.5
297,Matt Gay,347.7
298,Darnell Washington,274.5
299,Troy Franklin,278.0
300,Tory Horton,278.5
301,Keon Coleman,280.5
302,Riley Patterson,353.7
303,Jack Bech,285.5
304,Camden Brown,288.0
305,Darnell Mooney,289.0
306,Adrian Martinez,289.5
307,Miami Dolphins DST,361.3
308,Charlie Smyth,362.7
309,Jake Tonges,297.0
310,Michael Trigg,298.5
311,Drew Stevens,298.5
312,Jameis Winston,301.0
313,Dawson Knox,302.5
314,Geno Smith,302.5
