player_name,espn_name,position,transaction_type,team,from_team,to_team,date,fantasy_impact,impact_note,boost,in_database,raw_description
Najee Harris,Najee Harris,RB,RELEASED,PIT,PIT,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on PIT)
Gardner Minshew,Gardner Minshew Ii,QB,RELEASED,LV,LV,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on LV)
Tucker Kraft,Tucker Pup Kraft,TE,RELEASED,GB,GB,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on GB)
Davante Adams,Davante Adams,WR,RELEASED,LV,LV,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on LV)
T.J. Hockenson,T.J. Pup Hockenson,TE,RELEASED,MIN,MIN,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on MIN)
Treylon Burks,Treylon Burks,WR,RELEASED,TEN,TEN,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on TEN)
Ezekiel Elliott,Ezekiel Elliott,RB,RELEASED,DAL,DAL,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on DAL)
Amari Cooper,Amari Cooper,WR,RELEASED,CLE,CLE,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on CLE)
Jordan Akins,Jordan Akins,TE,RELEASED,CLE,CLE,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on CLE)
Chig Okonkwo,Chigoziem Okonkwo,TE,RELEASED,TEN,TEN,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on TEN)
Kendrick Bourne,Kendrick Pup Bourne,WR,RELEASED,NE,NE,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on NE)
Carson Wentz,Carson Wentz,QB,RELEASED,KC,KC,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on KC)
Derek Carr,Derek Carr,QB,RELEASED,NO,NO,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on NO)
Will Levis,Will Levis,QB,RELEASED,TEN,TEN,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on TEN)
Zack Moss,Zack Moss,RB,RELEASED,CIN,CIN,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on CIN)
Jamaal Williams,Jamaal Williams,RB,RELEASED,NO,NO,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on NO)
Nick Chubb,Nick Pup Chubb,RB,RELEASED,CLE,CLE,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on CLE)
Keenan Allen,Keenan Allen,WR,RELEASED,CHI,CHI,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on CHI)
Juwan Johnson,Juwan Pup Johnson,TE,RELEASED,NO,NO,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on NO)
Tyler Conklin,Tyler Conklin,TE,RELEASED,NYJ,NYJ,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #1 on NYJ)
Jonathon Brooks,Jonathon Nfi Brooks,RB,RELEASED,CAR,CAR,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on CAR)
Logan Thomas,Logan Thomas,TE,RELEASED,SF,SF,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on SF)
Mike Williams,Mike Pup Williams,WR,RELEASED,NYJ,NYJ,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on NYJ)
Gerald Everett,Gerald Everett,TE,RELEASED,CHI,CHI,,2026-09-05,HIGH,Left NFL (retired/cut/IR) — starting targets available,0,True,Not in 2025 depth chart (was 2024 depth #2 on CHI)
Hassan Haskins,Hassan Haskins,RB,RELEASED,TEN,TEN,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #3 on TEN)
La'Mical Perine,La'Mical Perine,RB,RELEASED,PIT,PIT,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on PIT)
DeAndre Hopkins,Deandre Hopkins,WR,TRADED,BAL,TEN,BAL,2026-09-05,MEDIUM,Joined BAL — stepping into starting role,8,True,Team changed: TEN (2024 depth #1) → BAL (2025 depth #2)
Cooper Rush,Cooper Rush,QB,TRADED,BAL,DAL,BAL,2026-09-05,MEDIUM,Joined BAL — stepping into starting role,8,True,Team changed: DAL (2024 depth #2) → BAL (2025 depth #2)
MyCole Pruitt,Mycole Pruitt,TE,RELEASED,PIT,PIT,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on PIT)
Dez Fitzpatrick,Dez Fitzpatrick,WR,RELEASED,PIT,PIT,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on PIT)
Jacoby Brissett,Jacoby Brissett,QB,TRADED,ARZ,NE,ARZ,2026-09-05,MEDIUM,Joined ARZ — stepping into starting role,8,True,Team changed: NE (2024 depth #1) → ARZ (2025 depth #2)
Byron Pringle,Byron Pringle,WR,RELEASED,WAS,WAS,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on WAS)
Armani Rogers,Armani Rogers,TE,RELEASED,WAS,WAS,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on WAS)
Michael Wiley,Michael Wiley,RB,RELEASED,WAS,WAS,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on WAS)
Jeff Driskel,Jeff Driskel,QB,RELEASED,WAS,WAS,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on WAS)
Colton Dowell,Colton Pup Dowell,WR,RELEASED,TEN,TEN,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on TEN)
Chase Edmonds,Chase Edmonds,RB,RELEASED,TB,TB,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #3 on TB)
P.J. Walker,Pj Walker,QB,RELEASED,SEA,SEA,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #3 on SEA)
Thomas Odukoya,Thomas Ipp Odukoya,TE,RELEASED,TEN,TEN,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #4 on TEN)
Nick Vannett,Nick Vannett,TE,RELEASED,TEN,TEN,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #3 on TEN)
Kenny McIntosh,Kenny Mcintosh,RB,RELEASED,SEA,SEA,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #3 on SEA)
Ricky Person,Ricky Person,RB,RELEASED,SEA,SEA,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,False,Not in 2025 depth chart (was 2024 depth #4 on SEA)
Zack Nfi Annexstad,Zack Nfi Annexstad,QB,RELEASED,TB,TB,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,False,Not in 2025 depth chart (was 2024 depth #4 on TB)
Rico Dowdle,Rico Dowdle,RB,TRADED,CAR,DAL,CAR,2026-09-05,MEDIUM,Joined CAR — stepping into starting role,8,True,Team changed: DAL (2024 depth #2) → CAR (2025 depth #2)
Dan Chisena,Dan Chisena,WR,RELEASED,ARZ,ARZ,,2026-09-05,MEDIUM,Left NFL — rotational targets available,0,True,Not in 2025 depth chart (was 2024 depth #3 on ARZ)
Noah Fant,Noah Fant,TE,TRADED,CIN,SEA,CIN,2026-09-05,MEDIUM,Joined CIN — stepping into starting role,8,True,Team changed: SEA (2024 depth #1) → CIN (2025 depth #1)
Joshua Dobbs,Joshua Dobbs,QB,TRADED,NE,SF,NE,2026-09-05,MEDIUM,Joined NE — stepping into starting role,8,True,Team changed: SF (2024 depth #2) → NE (2025 depth #2)
Russell Wilson,Russell Wilson,QB,TRADED,NYG,PIT,NYG,2026-09-05,MEDIUM,Joined NYG — stepping into starting role,8,True,Team changed: PIT (2024 depth #1) → NYG (2025 depth #1)
Justin Fields,Justin Fields,QB,TRADED,NYJ,PIT,NYJ,2026-09-05,MEDIUM,Joined NYJ — stepping into starting role,8,True,Team changed: PIT (2024 depth #2) → NYJ (2025 depth #1)
Aaron Rodgers,Aaron Rodgers,QB,TRADED,PIT,NYJ,PIT,2026-09-05,MEDIUM,Joined PIT — stepping into starting role,8,True,Team changed: NYJ (2024 depth #1) → PIT (2025 depth #1)
